"","X","coefficients","r_squared","p_value","gene","p_adj"
"130",130,0.0700079951811769,0.0743244502288005,2.09834088959248e-12,"TM2D3",4.86915230815244e-12
"131",131,0.161071415077582,0.0743058700854257,2.11211573631778e-12,"PDZRN3",4.86915230815244e-12
"132",132,0.0781599531319956,0.0738567647011333,2.47395174521058e-12,"RPL10A",5.66010172010299e-12
"133",133,0.0697291844090056,0.0737336264770014,2.58354539811937e-12,"PGM2L1",5.86639631753421e-12
"134",134,0.103410133685856,0.073512961083669,2.79219528564915e-12,"ADK",6.29285803183614e-12
"135",135,0.0816337963821474,0.073485154979439,2.81965287376814e-12,"RSRP1",6.30766791020725e-12
"136",136,0.0826947538843503,0.0731193778355554,3.20694628030237e-12,"PODXL2",7.12130718125967e-12
"137",137,0.0791171165928451,0.0728170054898021,3.56685954411192e-12,"C1orf61",7.86271227972117e-12
"138",138,0.158197318986882,0.0725352225518695,3.93844367665181e-12,"CNR1",8.61891297354237e-12
"139",139,0.0639432094594149,0.072366412562532,4.17929903138348e-12,"SPCS2",9.0802036509195e-12
"140",140,0.0523764709765363,0.0723210742083515,4.24645399684592e-12,"WRB",9.16020790748191e-12
"141",141,0.173057672572793,0.0719740528686785,4.79740918711144e-12,"LINC01322",1.02579679121545e-11
"142",142,0.158584266647325,0.0719587499968573,4.82328292558258e-12,"GABRG3",1.02579679121545e-11
"143",143,0.0563019703062179,0.0715484315007212,5.57143345129588e-12,"CHCHD10",1.17662440719675e-11
"144",144,0.0943526921525184,0.0713020908014591,6.07511398835541e-12,"VSTM2A",1.2740864058912e-11
"145",145,0.0871409605595663,0.0706483430040056,7.64310288762329e-12,"LCORL",1.59187384280154e-11
"146",146,0.0902348047043453,0.0704874176724496,8.08737351071298e-12,"NEK10",1.67286767139405e-11
"147",147,0.0775306746134971,0.0698776924396808,1.00172789823085e-11,"HINT1",2.05797160044705e-11
"148",148,0.111574685892739,0.069752097529733,1.04686106645355e-11,"GAD2",2.13616244641197e-11
"149",149,0.0876243194216019,0.0694582558006827,1.16053951787892e-11,"SPIN1",2.35149198882303e-11
"150",150,0.114199936855005,0.0694400873034311,1.16795959709753e-11,"MIR325HG",2.35149198882303e-11
"151",151,0.0353420882231977,0.0691379600866311,1.29852331138199e-11,"DBI",2.59704662276398e-11
"152",152,0.0400028315361905,0.0688324893234254,1.44533990868001e-11,"CHGA",2.87166218698265e-11
"153",153,0.0507578919299915,0.0682288483490509,1.78593781178886e-11,"YBX1",3.52518443895579e-11
"154",154,0.184653942414717,0.0680818912912804,1.88032155498785e-11,"KCNAB1",3.68738382861254e-11
"155",155,0.0634398735015544,0.0680248785627097,1.91826395455925e-11,"PGAM1",3.73752073727028e-11
