"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RIMS1",2.44469572451366e-32,-0.943232084792792,0.306,0.714,5.52941278970499e-28
"FGF14",1.23939221810051e-31,-0.745963021646309,0.68,0.975,2.80325731889972e-27
"NPAS3",5.5478627044054e-31,-1.12654799336448,0.479,0.773,1.25481558648241e-26
"OXR1",6.16661107670016e-31,-0.919140222360406,0.404,0.78,1.39476409332804e-26
"THRB",1.0114710881011e-30,-0.84854149602014,0.265,0.637,2.28774530706707e-26
"DNAJB1",3.28652171124693e-30,3.65239237548333,0.306,0.073,7.4334548064983e-26
"TTTY14",4.96707449081475e-30,-1.00166319281705,0.14,0.483,1.12345290833248e-25
"MT-CO2",6.85379433292774e-30,1.57868426548333,0.699,0.534,1.5501912022216e-25
"ROBO2",1.21610353745782e-29,-1.22427724341005,0.424,0.741,2.7505829810221e-25
"RTN1",1.48279322944346e-29,-0.870534110467656,0.32,0.698,3.35378172635521e-25
"CNR1",1.75358739444823e-29,-2.0426005223711,0.079,0.351,3.966263968763e-25
"QDPR",2.04763343979272e-29,2.74154566780986,0.483,0.264,4.63133731412318e-25
"NDRG2",2.50697657133516e-29,2.81614272264127,0.447,0.221,5.67027960904586e-25
"GABRB2",3.31138340271906e-29,-0.827698223044555,0.335,0.7,7.48968698026996e-25
"FRMPD4",5.80851472608418e-29,-0.960529190441155,0.315,0.678,1.31376986074572e-24
"ASIC2",5.904325400146e-29,-1.27133481217304,0.29,0.618,1.33544031900502e-24
"LINGO2",7.63891853654053e-29,-0.959177027440038,0.34,0.7,1.72777059459474e-24
"MT-CO3",1.03428955627715e-28,1.51022775234053,0.698,0.518,2.33935611838765e-24
"LSAMP-AS1",2.03207564708021e-28,-2.78787738420011,0.043,0.284,4.59614869856601e-24
"TSPAN7",2.26011148883549e-28,-1.44460168363783,0.14,0.448,5.11192016544812e-24
"HSPB1",2.80562505685165e-28,3.60231039679879,0.302,0.079,6.34576275358706e-24
"NRXN1",3.5088378818639e-28,-0.634446813413501,0.741,0.959,7.93628952119977e-24
"UNC80",4.10508430227615e-28,-1.03375791807065,0.225,0.562,9.2848796748882e-24
"MT3",4.72535279547976e-28,2.63423151675984,0.436,0.205,1.06878029528161e-23
"ERBB4",5.53544052423262e-28,-0.972366456734454,0.676,0.858,1.25200593777093e-23
"THSD7A",8.89579103753208e-28,-1.47759068342011,0.161,0.463,2.01205001686901e-23
"PDE10A",1.26489111240145e-27,-1.32297441429251,0.154,0.466,2.86093071802959e-23
"SCG2",1.59260630935427e-27,-1.9509529608677,0.089,0.36,3.60215695049749e-23
"SYNPR",1.88422574917517e-27,-1.2493446810093,0.261,0.581,4.26174179948439e-23
"NDRG1",2.01813031684716e-27,3.1822236221043,0.336,0.108,4.5646071506449e-23
"NBEA",4.17791437888409e-27,-0.825858240323448,0.42,0.805,9.44960674216004e-23
"KCNQ3",6.03648126969109e-27,-0.956714866663366,0.211,0.539,1.36533133357873e-22
"REV3L",1.08803065092269e-26,-0.913621699420424,0.24,0.594,2.46090772625695e-22
